기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국전력국제원자력대학원대학교,기타공공기관,기후에너지환경부,67,6,97427,205672,울산광역시,0.0895522388059701,2.111036981534893
한국전력기술주식회사,공기업(준시장형),기후에너지환경부,2355,185,98136,181021,경상북도,0.078556263269639,1.8445932175756092
한국제품안전관리원,기타공공기관,산업통상부,101,11,47192,162795,서울특별시,0.1089108910891089,3.449631293439566
한국조세재정연구원,기타공공기관,국무조정실,365,23,81062,166799,세종특별자치시,0.0630136986301369,2.057671905455084
한국조폐공사,공기업(준시장형),재정경제부,1410,53,86376,162769,대전광역시,0.0375886524822695,1.884423914050199
한국주택금융공사,준정부기관(기금관리형),금융위원회,1004,30,93495,229643,부산광역시,0.0298804780876494,2.4562062142360555
한국중부발전(주),공기업(시장형),기후에너지환경부,2890,112,97415,157309,충청남도,0.0387543252595155,1.614833444541395
한국중소벤처기업유통원,기타공공기관,중소벤처기업부,297,15,65212,155609,서울특별시,0.0505050505050505,2.3862019260258847
한국지능정보사회진흥원,준정부기관(위탁집행형),과학기술정보통신부,716,26,72883,178806,대구광역시,0.0363128491620111,2.453329308617922
한국지식재산보호원,기타공공기관,지식재산처,119,3,59607,208104,서울특별시,0.0252100840336134,3.491267804116966
한국지식재산연구원,기타공공기관,지식재산처,70,3,81073,213519,서울특별시,0.0428571428571428,2.633663488461017
한국지역난방공사,공기업(시장형),기후에너지환경부,2133,69,86934,194386,경기도,0.0323488045007032,2.236018128695332
한국직업능력연구원,기타공공기관,국무조정실,208,1,90897,156355,세종특별자치시,0.0048076923076923,1.7201337777924464
한국철도공사,공기업(준시장형),국토교통부,32380,1596,70911,110137,대전광역시,0.049289684990735,1.553172286387161
한국청소년상담복지개발원,기타공공기관,성평등가족부,258.5,2,53364,165536,부산광역시,0.0077369439071566,3.1020163406041528
한국청소년정책연구원,기타공공기관,국무조정실,90,0,71568,154825,세종특별자치시,0,2.163327185334228
한국청소년활동진흥원,기타공공기관,성평등가족부,415,14,53573,159685,서울특별시,0.0337349397590361,2.980699232822504
한국체육산업개발(주),기타공공기관,문화체육관광부,1171,25,62685,161598,서울특별시,0.0213492741246797,2.5779373055754964
한국출판문화산업진흥원,기타공공기관,문화체육관광부,94,5,53785,123490,전라북도,0.0531914893617021,2.29599330668402
한국치산기술협회,기타공공기관,산림청,94,12,96578,,충청북도,0.1276595744680851,
한국콘텐츠진흥원,기타공공기관,문화체육관광부,535,20,70096,183839,전라남도,0.0373831775700934,2.622674617667199
한국탄소산업진흥원,기타공공기관,산업통상부,107,4,81079,151862,전라북도,0.0373831775700934,1.873012740660344
한국토지주택공사,공기업(준시장형),국토교통부,8872,358,76598,135764,경상남도,0.040351668169522,1.772422256455782
한국투자공사,기타공공기관,재정경제부,328,14,123738,344698,서울특별시,0.0426829268292682,2.78570851314875
한국특허기술진흥원,기타공공기관,지식재산처,666,0,76091,185049,대전광역시,0,2.431943331011552
한국특허전략개발원,기타공공기관,지식재산처,245,5,72571,213519,대전광역시,0.0204081632653061,2.942208320127875
한국특허정보원,기타공공기관,지식재산처,423,9,59577,205527,대전광역시,0.0212765957446808,3.4497708847373985
한국학중앙연구원,기타공공기관,교육부,272,12,76193,225424,경기도,0.0441176470588235,2.958591996640111
한국한의약진흥원,기타공공기관,보건복지부,148,2,55000,151892,경상북도,0.0135135135135135,2.7616727272727277
한국항로표지기술원,기타공공기관,해양수산부,64,7,62699,153663,세종특별자치시,0.109375,2.4508046380325044
한국해양교통안전공단,준정부기관(위탁집행형),해양수산부,544,24,63091,161301,세종특별자치시,0.0441176470588235,2.556640408299124
한국해양수산개발원,기타공공기관,국무조정실,260,12,78032,175406,부산광역시,0.0461538461538461,2.247872667623539
한국해양수산연수원,기타공공기관,해양수산부,305,14,63807,150316,부산광역시,0.0459016393442622,2.355791684297961
